Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FieldmapKey01,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__13,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,13,21,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__14,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,14,21,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-rest,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__15,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,15,20,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__16,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,16,20,2E-06,0.08,0.000510012,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,0,,1.0,j-,7.03,0.045391
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__17,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,17,17,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__18,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,18,13,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__19,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,19,13,2.6E-06,0.0512,0.000550001,,,90.0,,,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__20,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,20,11,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__21,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,21,10,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__22,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,22,8,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__23,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,23,8,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__24,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,24,8,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__25,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,25,7,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__26,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,26,6,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-rest,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__27,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,27,6,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__28,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,28,6,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-rest,,,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__29,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,29,6,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__30,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,30,6,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__31,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,31,5,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__32,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,32,5,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__33,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,33,5,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__34,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,34,5,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__35,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,35,5,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__36,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,36,4,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__37,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,37,4,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__38,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,38,4,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__39,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,39,4,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__40,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,40,3,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__41,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,41,3,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__42,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,42,3,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__43,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,43,3,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__44,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,44,3,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__45,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,45,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__46,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,46,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_suffix-bold_task-rest,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__47,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,47,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__48,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,48,2,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__49,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,49,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__50,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,50,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__51,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,51,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__52,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,52,2,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__53,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,53,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__54,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,54,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__55,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,55,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__56,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,56,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__57,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,57,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_suffix-bold_task-rest,,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__58,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,58,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__59,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,59,2,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_suffix-bold_task-movieTP,,,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__60,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,60,2,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__61,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,61,1,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__62,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,62,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__63,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,63,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__64,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,64,1,2.6E-06,0.0598,0.000650001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,60,,1.0,i-,6.09,0.0539501
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__65,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,65,1,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__66,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,66,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-rest,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__67,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,67,1,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__68,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,68,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__69,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,69,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__70,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,70,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__71,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,71,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__72,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,72,1,2E-06,0.08,0.000510012,,,90.0,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,,,0,,1.0,j-,7.03,0.045391
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__73,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,73,1,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__74,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,74,1,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__75,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,75,1,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__76,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,76,1,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,,,60,,1.0,j-,5.301,0.0414992
